sno,total,available_rent_bikes,available_return_bikes,infoTime
500101030,34,34,0,2024-10-14 08:29:18
500119050,31,17,0,2024-10-14 08:27:14
500119072,12,12,0,2024-10-14 08:09:15
500119078,10,10,0,2024-10-14 08:10:17
500119083,18,18,0,2024-10-14 08:28:19
500101031,20,19,1,2024-10-14 08:29:18
500101034,18,17,1,2024-10-14 08:29:14
500101036,20,19,1,2024-10-14 08:23:17
500119055,28,27,1,2024-10-14 08:29:14
500119067,42,26,1,2024-10-14 08:28:19
500119081,26,25,1,2024-10-14 08:25:15
500119082,10,9,1,2024-10-14 08:22:15
500101029,15,12,3,2024-10-14 08:23:18
500101035,24,21,3,2024-10-14 08:29:18
500119058,33,29,3,2024-10-14 08:28:19
500119064,28,25,3,2024-10-14 08:25:18
500119065,10,7,3,2024-10-14 08:29:17
500119085,14,11,3,2024-10-14 08:22:19
500119075,48,44,4,2024-10-14 08:27:18
500119087,30,25,5,2024-10-14 08:29:18
500119051,27,21,6,2024-10-14 08:29:18
500119047,30,23,7,2024-10-14 08:26:18
500119080,10,3,7,2024-10-14 08:29:18
500119092,17,10,7,2024-10-14 08:26:16
500119008,10,2,8,2024-10-14 05:57:14
500119066,20,12,8,2024-10-14 08:23:18
500101039,28,19,9,2024-10-14 08:26:18
500119060,12,3,9,2024-10-14 08:28:19
500101042,15,5,10,2024-10-14 08:27:18
500119056,10,0,10,2024-10-14 08:29:18
500106003,12,0,11,2024-10-14 08:27:14
500119052,26,9,11,2024-10-14 08:29:17
500119090,40,28,11,2024-10-14 08:29:18
500119093,36,25,11,2024-10-14 08:29:18
500119095,33,22,11,2024-10-14 08:24:19
500106004,12,0,12,2024-10-14 08:26:14
500119062,12,0,12,2024-10-14 08:00:18
500119053,19,1,13,2024-10-14 08:29:18
500119074,30,16,14,2024-10-14 08:27:18
500119091,18,4,14,2024-10-14 08:21:18
500101028,20,4,16,2024-10-14 08:28:19
500119088,35,19,16,2024-10-14 08:23:18
500101037,20,3,17,2024-10-14 08:28:19
500101023,25,7,18,2024-10-14 08:29:18
500119079,19,0,19,2024-10-14 08:28:15
500119076,22,2,20,2024-10-14 08:28:19
500119054,30,9,21,2024-10-14 08:17:18
500119071,34,13,21,2024-10-14 08:29:18
500119089,24,3,21,2024-10-14 08:28:19
500101033,46,8,22,2024-10-14 08:29:18
500119069,26,4,22,2024-10-14 08:29:18
500119061,39,15,24,2024-10-14 08:29:18
500119086,51,26,24,2024-10-14 08:23:18
500119094,40,0,24,2024-10-14 08:29:17
500101040,25,0,25,2024-10-14 08:15:16
500101038,27,0,27,2024-10-14 08:22:15
500119043,42,15,27,2024-10-14 08:29:17
500119063,27,0,27,2024-10-14 08:26:14
500101032,61,32,28,2024-10-14 08:28:19
500119009,30,1,29,2024-10-14 08:29:18
500119077,56,24,31,2024-10-14 08:27:18
500119096,99,68,31,2024-10-14 08:28:19
500119044,35,3,32,2024-10-14 08:26:18
500119045,45,12,32,2024-10-14 08:28:19
500119057,48,15,33,2024-10-14 08:28:19
500119084,40,7,33,2024-10-14 08:20:21
500119005,37,2,35,2024-10-14 08:29:18
500119007,35,0,35,2024-10-14 08:26:14
500119046,40,2,38,2024-10-14 08:27:14
500101041,41,0,41,2024-10-14 08:11:15
500119006,92,45,47,2024-10-14 08:28:19
500119070,48,1,47,2024-10-14 08:29:14
500119049,99,47,52,2024-10-14 08:29:18
500119048,53,0,53,2024-10-14 08:29:14
500119068,66,13,53,2024-10-14 08:29:17
500119059,68,13,55,2024-10-14 08:10:21
500101181,99,8,89,2024-10-14 08:28:19
500101022,99,4,90,2024-10-14 08:29:18
500119008,10,10,0,2024-10-14 15:25:15
500119094,40,40,0,2024-10-14 17:35:15
500119048,53,52,1,2024-10-14 17:39:20
500119070,48,47,1,2024-10-14 17:39:20
500106003,12,9,2,2024-10-14 17:39:20
500106004,12,10,2,2024-10-14 17:39:19
500119005,37,35,2,2024-10-14 17:37:20
500101181,99,95,3,2024-10-14 17:39:20
500119062,12,8,4,2024-10-14 17:36:20
500101042,15,10,5,2024-10-14 17:39:20
500101023,25,17,8,2024-10-14 17:39:20
500119009,30,22,8,2024-10-14 17:39:20
500119056,10,2,8,2024-10-14 17:36:20
500119065,10,2,8,2024-10-14 17:38:19
500119091,18,10,8,2024-10-14 17:24:19
500119082,10,1,9,2024-10-14 17:38:19
500119050,31,8,10,2024-10-14 17:38:19
500119078,10,0,10,2024-10-14 17:39:15
500119080,10,0,10,2024-10-14 17:31:15
500119060,12,0,11,2024-10-14 17:39:20
500119087,30,14,11,2024-10-14 17:38:19
500119072,12,0,12,2024-10-14 17:34:15
500101029,15,1,14,2024-10-14 17:36:20
500101034,18,4,14,2024-10-14 17:39:20
500119085,14,0,14,2024-10-14 17:38:19
500101040,25,9,16,2024-10-14 17:39:20
500119053,19,2,16,2024-10-14 17:39:20
500119079,19,3,16,2024-10-14 17:34:21
500101037,20,3,17,2024-10-14 17:38:19
500119083,18,1,17,2024-10-14 17:34:21
500119092,17,0,17,2024-10-14 17:39:15
500101036,20,2,18,2024-10-14 17:38:19
500119045,45,27,18,2024-10-14 17:38:19
500119052,26,5,18,2024-10-14 17:38:19
500119064,28,10,18,2024-10-14 17:39:20
500119076,22,0,18,2024-10-14 17:38:15
500119086,51,17,18,2024-10-14 17:39:20
500101030,34,9,19,2024-10-14 17:38:18
500101031,20,1,19,2024-10-14 17:39:20
500119089,24,5,19,2024-10-14 17:39:20
500101028,20,0,20,2024-10-14 17:32:15
500119051,27,7,20,2024-10-14 17:39:20
500119066,20,0,20,2024-10-14 17:36:15
500119081,26,3,22,2024-10-14 17:36:20
500101035,24,1,23,2024-10-14 17:38:19
500119069,26,0,23,2024-10-14 17:32:15
500119054,30,3,24,2024-10-14 17:39:20
500119058,33,7,25,2024-10-14 17:38:19
500119095,33,0,25,2024-10-14 17:35:15
500101038,27,1,26,2024-10-14 17:38:19
500119055,28,2,26,2024-10-14 17:39:20
500119063,27,0,27,2024-10-14 17:39:15
500101039,28,0,28,2024-10-14 17:28:15
500119047,30,2,28,2024-10-14 17:30:23
500119071,34,1,29,2024-10-14 17:39:20
500119074,30,0,30,2024-10-14 17:39:15
500119090,40,8,31,2024-10-14 17:39:20
500119043,42,9,33,2024-10-14 17:39:19
500119067,42,0,33,2024-10-14 17:37:15
500119088,35,1,33,2024-10-14 17:38:19
500101033,46,12,34,2024-10-14 17:39:20
500119007,35,1,34,2024-10-14 17:34:21
500119044,35,1,34,2024-10-14 17:39:15
500119093,36,1,35,2024-10-14 17:28:19
500101041,41,5,36,2024-10-14 17:39:20
500119061,39,2,37,2024-10-14 17:39:20
500119084,40,2,38,2024-10-14 17:36:20
500119046,40,0,39,2024-10-14 17:32:15
500119077,56,5,42,2024-10-14 17:39:20
500119075,48,5,43,2024-10-14 17:39:19
500101032,61,17,44,2024-10-14 17:39:20
500119057,48,0,48,2024-10-14 17:33:15
500119068,66,3,51,2024-10-14 17:38:19
500101022,99,40,59,2024-10-14 17:39:20
500119049,99,10,65,2024-10-14 17:39:20
500119059,68,1,66,2024-10-14 17:34:15
500119096,99,32,67,2024-10-14 17:37:20
500119006,92,16,76,2024-10-14 17:35:19
